Suburb,Age,Gender,Ethnicity,Occupation,Name,Interests Hobbies,Political Views,Blurb
Albanvale,32,M,Vietnamese,Mechanic,Tuan,"Fishing, Family",Centre-right,"""Life's better under the hood."""
Albion,55,F,Italian-Australian,Restaurant Owner,Maria,"Cooking, Family",Conservative,"""La famiglia è tutto. Also, never skimp on garlic."""
Alphington,40,M,Indian-Australian,IT Consultant,Raj,"Coding, Chess",Liberal,"""Let's debug this over a chai latte, shall we?"""
Altona Meadows,28,Male,Indian,IT Consultant,Raj,"Cricket, Coding",Progressive,"""Code is like humor. When you have to explain it, it’s bad."""
Arthurs Creek,70,Female,English,Retired,Margaret,"Bird Watching, Bridge",Conservative,"""Age is just a number, darling."""
Balaclava,30,Male,Jewish,Small Business Owner,Aaron,"Cooking, Community Events",Moderate,"""Community is my second home."""
Balnarring,55,Female,Caucasian,Artist,Susan,"Painting, Gardening",Moderate,"""Art is the only way to run away without leaving home."""
Balnarring Beach,28,F,Asian-Australian,Accountant,Lily,"Surfing, Yoga",Progressive,"""Find your balance, in work and in waves."""
Baxter,35,Female,Vietnamese,Restaurant Owner,Mai,"Cooking, Gardening",Progressive,"""Pho is life; the rest is just details."""
Bayswater,32,M,Vietnamese-Australian,Mechanic,Vinh,"Cars, Fishing",Centre-Right,"""In every job that must be done, there is an element of fun."""
Bayswater North,25,Male,Caucasian,Tradesperson,Jake,"Dirt Biking, Fishing",Moderate,"""Life's a journey, better bring the right tools."""
Beaconsfield,45,Female,Caucasian,Business Analyst,Sarah,"Wine tasting, Yoga",Moderate,"""Life's too short for bad wine."""
Beenak,36,Female,Anglo-Australian,Farmer,Emily,"Gardening, animal care",Green,"""Plant seeds of happiness, hope, and love."""
Bentleigh East,33,Female,Jewish,Lawyer,Rachel,"Wine tasting, Theatre",Moderate,"""In vino veritas."""
Blackburn South,40,Male,Anglo-Australian,Accountant,John,"Golf, Reading",Liberal,"""Don't count the days, make the days count."""
Box Hill,35,Male,Chinese,IT Consultant,Li,"Badminton, Coding",Conservative,"""Code is poetry in motion."""
Brighton,45,Female,Anglo-Australian,Real Estate Agent,Emily,"Yoga, Wine tasting",Conservative,"""Darling, you should always dress like you're going to see your worst enemy."""
Brooklyn,34,Female,Vietnamese,Factory Worker,Ngoc,"Cooking, Gardening",Labor,"""Family first, always."""
Brunswick West,25,M,Middle Eastern,Barista,Ali,"Art, Coffee",Left-wing,"""Espresso yourself."""
Bullengarook,57,M,Anglo-Australian,Tradesman,Jack,"Motorcycle, AFL",Conservative,"""Work hard, ride hard."""
Burnley,28,F,Asian,IT Analyst,Emily,"Yoga, Tech",Progressive,"""Namaste and code."""
Calder Park,33,Male,Caucasian,Mechanic,Tony,"Car Racing, BBQ",Conservative,"""Torque is cheap; horsepower is not."""
Carrum,28,Male,Greek,Surfer,Theo,"Surfing, Music",Green,"""Ride the wave, embrace the tide."""
Caulfield,22,Female,Asian,Student,Lily,"Fashion, K-pop",Progressive,"""Why fit in when you were born to stand out?"""
Caulfield East,21,Female,Jewish,Student,Rachel,"Theatre, Social Media",Labor,"""Live for the applause."""
Chintin,50,M,Anglo-Australian,Farmer,Bruce,"Fishing, Farming",Conservative,"""Farming ain't just a job, it's a lifestyle."""
Christmas Hills,40,M,Italian-Australian,Winemaker,Antonio,"Wine Tasting, Gardening",Liberal,"""In vino veritas, in wine there is truth."""
Chum Creek,30,Male,Indigenous,Tour Guide,Jack,"Cultural preservation, Art",Progressive,"""Know your roots, honor your history."""
Clayton,21,Male,Chinese,Student,Jack,"Table Tennis, Music",Liberal,"""Life's a game; table tennis is serious."""
Clematis,45,F,Greek-Australian,Florist,Elena,"Gardening, Baking",Centre,"""Flowers feed the soul."""
Cockatoo,28,Female,Caucasian,Artist,Emily,"Painting, Hiking",Progressive,"""Life is my canvas, and I'm not done yet."""
Coldstream,59,M,Anglo-Australian,Winemaker,Bruce,"Wine tasting, Fishing",Conservative,"""Good wine is a necessity of life for me."""
Coolaroo,23,Female,Lebanese,Student,Hala,"Soccer, Poetry",Progressive,"""Football is life; poetry is soul."""
Cottles Bridge,52,Male,Caucasian,Farmer,Ian,"Hiking, Woodworking",Conservative,"""Hard work beats talent."""
Cranbourne East,28,Female,Filipino,Nurse,Maria,"Netflix, Cooking",Liberal,"""Take life one episode at a time."""
Cranbourne North,43,M,Anglo-Australian,Tradesman,Dave,"Footy, BBQ",Conservative,"""G'day! Fire up the barbie, would ya? There's more to life than work."""
Cranbourne South,30,Female,Asian,Nurse,Priya,"Cooking, Bollywood Movies",Left-Leaning,"""Spices are the essence of life."""
Croydon South,22,Female,Chinese,Student,Lily,"Art, Anime",Green,"""Express yourself, freely and fully."""
Dandenong North,28,Female,Vietnamese,Accountant,Linh,"DIY Crafts, Karaoke",Moderate,"""I live for the applause, applause, applause."""
